episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,mean_critic_loss,mean_actor_loss,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return
1,100,90.0,-248.6665374365001,30.0,30.0,30.0,-248.6665374365001,,,1.0,,,,,,
2,200,150.0,-142.22272364007938,50.0,50.0,50.0,-142.22272364007938,,,1.0,,,,,,
3,300,0.0,-206.41399949640086,0.0,0.0,0.0,-206.41399949640086,,,1.0,,,,,,
4,400,0.0,-451.54155966735425,0.0,0.0,0.0,-451.54155966735425,,,1.0,,,,,,
5,500,150.0,-99.24151607174123,50.0,50.0,50.0,-99.24151607174123,,,1.0,40.0,-834.6090216613443,0.0,-331.9452462549336,0.0,-795.3388291279425
6,600,0.0,-533.8546729174407,0.0,0.0,0.0,-533.8546729174407,,,1.0,,,,,,
7,700,0.0,-35.308438177316916,0.0,0.0,0.0,-35.308438177316916,,,1.0,,,,,,
8,800,0.0,-632.1996281180734,0.0,0.0,0.0,-632.1996281180734,,,1.0,,,,,,
9,900,0.0,-55.19154025577659,0.0,0.0,0.0,-55.19154025577659,,,1.0,,,,,,
10,1000,0.0,-11.256188160998688,0.0,0.0,0.0,-11.256188160998688,4.392126053571701,0.004039575345814228,0.99905,0.0,-1071.559878887287,10.0,-180.63443616494303,30.0,-1145.9890845321954
11,1100,60.0,-492.91597965728977,20.0,20.0,20.0,-492.91597965728977,5.063203647732735,0.05075390753336251,0.99715,,,,,,
12,1200,0.0,-210.6901190540218,0.0,0.0,0.0,-210.6901190540218,5.296723872423172,0.06348279968369752,0.99525,,,,,,
13,1300,90.0,-38.22444269833154,30.0,30.0,30.0,-38.22444269833154,4.650140687823296,0.08556528016924858,0.99335,,,,,,
14,1400,90.0,-30.0,30.0,30.0,30.0,-30.0,3.4204210862517357,0.15789688291260973,0.99145,,,,,,
15,1500,0.0,-8.484679977719821,0.0,0.0,0.0,-8.484679977719821,3.5348217077553272,0.2526978742098436,0.98955,0.0,-788.7502007481535,0.0,-213.035851912054,0.0,-897.4263215413607
16,1600,0.0,-38.59979497974119,0.0,0.0,0.0,-38.59979497974119,3.457324355840683,0.3460563772241585,0.98765,,,,,,
17,1700,0.0,-13.045650264670739,0.0,0.0,0.0,-13.045650264670739,3.3873139321804047,0.4185389350168407,0.98575,,,,,,
18,1800,0.0,0.0,0.0,0.0,0.0,0.0,1.7722391970455647,0.5067342286347412,0.98385,,,,,,
19,1900,0.0,-94.76486387684808,0.0,0.0,0.0,-94.76486387684808,2.6050269305706024,0.5437103256117553,0.98195,,,,,,
20,2000,0.0,-424.7459046367359,0.0,0.0,0.0,-424.7459046367359,2.301432527601719,0.5686353451455943,0.98005,0.0,-825.0808167915615,30.0,-63.74108611600018,0.0,-806.0897668617222
