episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,train_touch_count,mean_critic_loss,mean_actor_loss,mean_actor_entropy,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return,eval_self_play_touch_count,eval_adv_vs_random_prey_touch_count,eval_random_adv_vs_prey_touch_count
1,100,0.0,-202.15532061078932,0.0,0.0,0.0,-202.15532061078932,0.0,,,,1.0,,,,,,,,,
2,200,90.0,-312.5607787134819,30.0,30.0,30.0,-312.5607787134819,9.0,,,,1.0,,,,,,,,,
3,300,90.0,-129.12001806461816,30.0,30.0,30.0,-129.12001806461816,9.0,,,,1.0,,,,,,,,,
4,400,0.0,-97.35058116558449,0.0,0.0,0.0,-97.35058116558449,0.0,,,,1.0,,,,,,,,,
5,500,60.0,-221.73231078173433,20.0,20.0,20.0,-221.73231078173433,6.0,,,,1.0,,,,,,,,,
6,600,0.0,-275.64436195147806,0.0,0.0,0.0,-275.64436195147806,0.0,,,,1.0,,,,,,,,,
7,700,0.0,-241.8258945773254,0.0,0.0,0.0,-241.8258945773254,0.0,,,,1.0,,,,,,,,,
8,800,0.0,-1023.1683274935916,0.0,0.0,0.0,-1023.1683274935916,0.0,,,,1.0,,,,,,,,,
9,900,0.0,-39.79615541923375,0.0,0.0,0.0,-39.79615541923375,0.0,,,,1.0,,,,,,,,,
10,1000,60.0,-99.75317847927829,20.0,20.0,20.0,-99.75317847927829,6.0,,,,1.0,,,,,,,,,
11,1100,0.0,-518.5247855698149,0.0,0.0,0.0,-518.5247855698149,0.0,,,,1.0,,,,,,,,,
12,1200,90.0,-99.47533095306356,30.0,30.0,30.0,-99.47533095306356,9.0,,,,1.0,,,,,,,,,
13,1300,150.0,-89.80970351742852,50.0,50.0,50.0,-89.80970351742852,15.0,,,,1.0,,,,,,,,,
14,1400,0.0,-286.39468049937557,0.0,0.0,0.0,-286.39468049937557,0.0,,,,1.0,,,,,,,,,
15,1500,0.0,-31.650601146650047,0.0,0.0,0.0,-31.650601146650047,0.0,,,,1.0,,,,,,,,,
16,1600,0.0,-18.462233548755062,0.0,0.0,0.0,-18.462233548755062,0.0,,,,1.0,,,,,,,,,
17,1700,30.0,-10.0,10.0,10.0,10.0,-10.0,3.0,,,,1.0,,,,,,,,,
18,1800,0.0,-153.89901063938373,0.0,0.0,0.0,-153.89901063938373,0.0,,,,1.0,,,,,,,,,
19,1900,0.0,-234.147711979234,0.0,0.0,0.0,-234.147711979234,0.0,,,,1.0,,,,,,,,,
20,2000,0.0,-274.6608623804271,0.0,0.0,0.0,-274.6608623804271,0.0,,,,1.0,,,,,,,,,
21,2100,0.0,-487.1580804421377,0.0,0.0,0.0,-487.1580804421377,0.0,,,,1.0,,,,,,,,,
22,2200,0.0,-127.44062227543134,0.0,0.0,0.0,-127.44062227543134,0.0,,,,1.0,,,,,,,,,
23,2300,0.0,-755.4986910188402,0.0,0.0,0.0,-755.4986910188402,0.0,,,,1.0,,,,,,,,,
24,2400,0.0,-156.59794178017748,0.0,0.0,0.0,-156.59794178017748,0.0,,,,1.0,,,,,,,,,
25,2500,0.0,-305.64261634632373,0.0,0.0,0.0,-305.64261634632373,0.0,,,,1.0,,,,,,,,,
26,2600,120.0,-374.57659994666943,40.0,40.0,40.0,-374.57659994666943,12.0,,,,1.0,,,,,,,,,
27,2700,0.0,-138.47294069145792,0.0,0.0,0.0,-138.47294069145792,0.0,,,,1.0,,,,,,,,,
28,2800,0.0,-8.217797433847952,0.0,0.0,0.0,-8.217797433847952,0.0,,,,1.0,,,,,,,,,
29,2900,0.0,-13.804171547332434,0.0,0.0,0.0,-13.804171547332434,0.0,,,,1.0,,,,,,,,,
30,3000,0.0,-288.1357272835893,0.0,0.0,0.0,-288.1357272835893,0.0,,,,1.0,,,,,,,,,
31,3100,0.0,-30.778818992444734,0.0,0.0,0.0,-30.778818992444734,0.0,,,,1.0,,,,,,,,,
32,3200,90.0,-30.0,30.0,30.0,30.0,-30.0,9.0,,,,1.0,,,,,,,,,
33,3300,0.0,-60.86069129645006,0.0,0.0,0.0,-60.86069129645006,0.0,,,,1.0,,,,,,,,,
34,3400,0.0,-76.916316466727,0.0,0.0,0.0,-76.916316466727,0.0,0.00647930521517992,-0.0014491886831820011,1.6047011017799377,0.998875,,,,,,,,,
35,3500,0.0,-353.0927267945075,0.0,0.0,0.0,-353.0927267945075,0.0,,,,0.998875,,,,,,,,,
36,3600,0.0,-604.6613725646603,0.0,0.0,0.0,-604.6613725646603,0.0,0.014524918864481151,-0.019606413785368204,1.6046403348445892,0.99775,,,,,,,,,
37,3700,0.0,-84.42868537568695,0.0,0.0,0.0,-84.42868537568695,0.0,0.009219672181643546,0.021527936216443777,1.6039846539497375,0.996625,,,,,,,,,
38,3800,90.0,-438.1161540582229,30.0,30.0,30.0,-438.1161540582229,9.0,0.010265464778058231,0.014755024574697018,1.6044374704360962,0.9955,,,,,,,,,
39,3900,0.0,-25.944908654939574,0.0,0.0,0.0,-25.944908654939574,0.0,0.008203637320548296,-0.048262777272611856,1.6042931079864502,0.994375,,,,,,,,,
40,4000,120.0,-40.0,40.0,40.0,40.0,-40.0,12.0,,,,0.994375,,,,,,,,,
41,4100,0.0,-381.2313553253099,0.0,0.0,0.0,-381.2313553253099,0.0,0.0066495376522652805,0.033933608792722225,1.6025516986846924,0.99325,,,,,,,,,
42,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00576474069384858,0.016593243926763535,1.6011701822280884,0.992125,,,,,,,,,
43,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007007116189925,0.0010667250026017427,1.6001726984977722,0.991,,,,,,,,,
44,4400,0.0,-84.36073320658322,0.0,0.0,0.0,-84.36073320658322,0.0,,,,0.991,,,,,,,,,
45,4500,0.0,-471.8704641557467,0.0,0.0,0.0,-471.8704641557467,0.0,0.007024939084658399,-0.006824210286140442,1.598674237728119,0.989875,,,,,,,,,
46,4600,0.0,-3.7422040754473582,0.0,0.0,0.0,-3.7422040754473582,0.0,0.004696448857430369,-0.004808403551578522,1.5969686210155487,0.98875,,,,,,,,,
47,4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010485768667422235,0.002933635376393795,1.6026411950588226,0.987625,,,,,,,,,
48,4800,210.0,-74.03326162866112,70.0,70.0,70.0,-74.03326162866112,21.0,0.01696828255080618,-0.02770893694832921,1.5994417369365692,0.9865,,,,,,,,,
49,4900,0.0,-712.7854781322709,0.0,0.0,0.0,-712.7854781322709,0.0,0.011291862290818244,-0.03752489201724529,1.597975730895996,0.985375,,,,,,,,,
50,5000,0.0,-221.01693817558774,0.0,0.0,0.0,-221.01693817558774,0.0,0.0028118164045736194,0.04338771291077137,1.6020440459251404,0.98425,3.0,-839.6078023124026,22.5,-149.0496415034273,7.5,-877.2694840756485,0.3,2.25,0.75
51,5100,150.0,-257.246596391612,50.0,50.0,50.0,-257.246596391612,15.0,,,,0.98425,,,,,,,,,
52,5200,30.0,-10.0,10.0,10.0,10.0,-10.0,3.0,0.01748827181290835,-0.04016371630132198,1.5963453650474548,0.983125,,,,,,,,,
53,5300,0.0,-47.96155684205832,0.0,0.0,0.0,-47.96155684205832,0.0,0.002512053499231115,-0.0002944301813840866,1.5895131528377533,0.982,,,,,,,,,
54,5400,0.0,-272.88773499097,0.0,0.0,0.0,-272.88773499097,0.0,0.0056000364711508155,0.04094630526378751,1.6009467840194702,0.9808749999999999,,,,,,,,,
55,5500,0.0,-27.607337021331187,0.0,0.0,0.0,-27.607337021331187,0.0,0.0129968267865479,-0.026655355002731085,1.5931011736392975,0.97975,,,,,,,,,
56,5600,0.0,-197.57284465043924,0.0,0.0,0.0,-197.57284465043924,0.0,0.003048579063033685,0.027512624859809875,1.5999513864517212,0.978625,,,,,,,,,
57,5700,0.0,-148.27116484366005,0.0,0.0,0.0,-148.27116484366005,0.0,,,,0.978625,,,,,,,,,
58,5800,0.0,-193.2110137070549,0.0,0.0,0.0,-193.2110137070549,0.0,0.004934274795232341,0.009063775185495615,1.583571434020996,0.9775,,,,,,,,,
59,5900,0.0,-243.39331571982117,0.0,0.0,0.0,-243.39331571982117,0.0,0.00965519729652442,-0.01731119235046208,1.5890423357486725,0.976375,,,,,,,,,
60,6000,90.0,-696.373746504685,30.0,30.0,30.0,-696.373746504685,9.0,,,,0.976375,,,,,,,,,
61,6100,0.0,-114.2890847220856,0.0,0.0,0.0,-114.2890847220856,0.0,0.0035207007022108883,0.009491783566772938,1.5988920032978058,0.97525,,,,,,,,,
62,6200,0.0,-585.1957265871885,0.0,0.0,0.0,-585.1957265871885,0.0,0.003372026199940592,0.013044293038547039,1.5791340172290802,0.974125,,,,,,,,,
63,6300,30.0,-150.78822841664828,10.0,10.0,10.0,-150.78822841664828,3.0,,,,0.974125,,,,,,,,,
64,6400,150.0,-479.1670333294081,50.0,50.0,50.0,-479.1670333294081,15.0,0.005143447415321134,-0.0015891431830823421,1.5979160368442535,0.973,,,,,,,,,
65,6500,30.0,-28.681764302796736,10.0,10.0,10.0,-28.681764302796736,3.0,0.005236883880570531,-0.00581592321395874,1.597471296787262,0.971875,,,,,,,,,
66,6600,0.0,-91.15222894874258,0.0,0.0,0.0,-91.15222894874258,0.0,0.008207703591324389,-0.01621061936020851,1.5846958458423615,0.97075,,,,,,,,,
67,6700,0.0,-482.8135822005524,0.0,0.0,0.0,-482.8135822005524,0.0,0.004156210969085805,0.001622926676645875,1.5967700779438019,0.969625,,,,,,,,,
68,6800,90.0,-303.622735147895,30.0,30.0,30.0,-303.622735147895,9.0,0.01260704972082749,-0.020701595582067966,1.5817581415176392,0.9685,,,,,,,,,
69,6900,0.0,-375.7700223932224,0.0,0.0,0.0,-375.7700223932224,0.0,0.011889458284713328,-0.029141752049326897,1.579608291387558,0.967375,,,,,,,,,
70,7000,120.0,-64.34604603747376,40.0,40.0,40.0,-64.34604603747376,12.0,0.004833786428207532,0.002461385913193226,1.5679979920387268,0.96625,,,,,,,,,
71,7100,30.0,-525.3082857275128,10.0,10.0,10.0,-525.3082857275128,3.0,0.008545070013497025,-0.0366707406938076,1.5753843784332275,0.965125,,,,,,,,,
72,7200,0.0,-26.614087230689524,0.0,0.0,0.0,-26.614087230689524,0.0,0.0023650504590477794,-0.002208399586379528,1.563821017742157,0.964,,,,,,,,,
73,7300,0.0,-290.90335488371284,0.0,0.0,0.0,-290.90335488371284,0.0,0.0031961499771568924,0.010140486992895603,1.596072793006897,0.962875,,,,,,,,,
74,7400,240.0,-120.20740958961477,80.0,80.0,80.0,-120.20740958961477,24.0,0.018144450965337455,-0.0025741513818502426,1.6013400852680206,0.96175,,,,,,,,,
75,7500,0.0,-0.37330466161450193,0.0,0.0,0.0,-0.37330466161450193,0.0,0.0050848792743636295,0.020249875262379646,1.594344288110733,0.960625,,,,,,,,,
76,7600,0.0,-382.75083440023934,0.0,0.0,0.0,-382.75083440023934,0.0,0.003616992078605108,0.021274650935083628,1.5938988029956818,0.9595,,,,,,,,,
77,7700,90.0,-30.0,30.0,30.0,30.0,-30.0,9.0,0.004754709923872724,-0.001117844134569168,1.5619409382343292,0.958375,,,,,,,,,
78,7800,0.0,-399.31992519904554,0.0,0.0,0.0,-399.31992519904554,0.0,0.017404790793079883,-0.005299662239849567,1.5990042686462402,0.95725,,,,,,,,,
79,7900,0.0,-3.2935912924998334,0.0,0.0,0.0,-3.2935912924998334,0.0,0.0027058303530793637,0.017136694863438606,1.5927261114120483,0.956125,,,,,,,,,
80,8000,0.0,-275.8293616381673,0.0,0.0,0.0,-275.8293616381673,0.0,0.009640409465646371,-0.011638338444754481,1.5970729291439056,0.955,,,,,,,,,
81,8100,0.0,-57.80067177115981,0.0,0.0,0.0,-57.80067177115981,0.0,0.0026989187172148377,0.015118732117116451,1.591095358133316,0.953875,,,,,,,,,
82,8200,180.0,-68.20536307570546,60.0,60.0,60.0,-68.20536307570546,18.0,0.006097280245739967,0.016867585014551878,1.590515822172165,0.95275,,,,,,,,,
