episode,steps,team_return
1,100,-77.09896859632909
2,100,-123.04857301272034
3,100,-166.90445198507936
4,100,-148.0490906286081
5,100,-125.10646533830135
6,100,-104.30973313254201
7,100,-190.28144611805092
8,100,-149.44800095487648
9,100,-204.52259480111644
10,100,-161.93466052405984
11,100,-132.79511918151786
12,100,-108.66451372181359
13,100,-104.38375367020637
14,100,-133.3513115124644
15,100,-158.51614439972028
16,100,-110.04814889366672
17,100,-205.6251838273127
18,100,-122.77410409747489
19,100,-230.44714967008153
20,100,-157.58553351366925
