episode,steps,team_return
1,100,-211.3703974304535
2,100,-210.2369855947082
3,100,-180.26439524372105
4,100,-154.24058651048654
5,100,-145.93251011545027
6,100,-125.7362597006301
7,100,-92.07666755836219
8,100,-111.62955851220617
9,100,-131.8285345688365
10,100,-104.35833630300763
11,100,-166.26725070482124
12,100,-152.30463066032655
13,100,-106.99803008300869
14,100,-163.72801822793886
15,100,-120.24791749676336
16,100,-115.19032420727032
17,100,-78.97172141078654
18,100,-165.49600338411207
19,100,-140.34133420443007
20,100,-153.46814915005484
