episode,steps,team_return
1,50,-39.503045129759435
2,50,-48.650632025193815
3,50,-28.887271008357448
4,50,-54.026119661599104
5,50,-55.20795644134384
6,50,-64.0814161146348
7,50,-48.951349703167644
8,50,-56.144650917795396
9,50,-70.50939775716708
10,50,-56.41443492235767
11,50,-76.02078728107628
12,50,-51.819748898077826
13,50,-29.374945581403107
14,50,-40.064745503140124
15,50,-85.29586907117069
16,50,-51.53036144285095
17,50,-50.520251579600405
18,50,-71.59144087061236
19,50,-57.53430717587078
20,50,-52.116742515113955
21,50,-43.819345637454006
22,50,-38.804151888563624
23,50,-52.29918415781345
24,50,-73.79298862850696
25,50,-31.576154853077647
26,50,-62.44484992703863
27,50,-45.72619618951821
28,50,-35.67544096375117
29,50,-75.62219286743648
30,50,-79.43253276732533
31,50,-54.68574140174062
32,50,-44.42248956925834
33,50,-74.4041877401056
34,50,-64.79843526916828
35,50,-45.58217420396774
36,50,-61.745116418947184
37,50,-41.40754907125889
38,50,-48.35751419238628
39,50,-97.62685074065344
40,50,-49.68740966083006
41,50,-51.66870010896285
42,50,-75.15586274784748
43,50,-65.57359831005266
44,50,-44.73359586995796
45,50,-95.27954378983536
46,50,-60.56691052670933
47,50,-91.25052332268385
48,50,-102.67736134047884
49,50,-57.99194937206679
50,50,-62.28952566314875
51,50,-49.33645927208863
52,50,-74.79391020051243
53,50,-77.3538690339319
54,50,-67.01242171160355
55,50,-42.858393608529276
56,50,-54.587998447854204
57,50,-61.496137536489904
58,50,-67.18153142712504
59,50,-54.792239777634286
60,50,-43.48009516319405
61,50,-30.53926641796461
62,50,-58.42494998743793
63,50,-73.87390366078186
64,50,-36.795659562226085
65,50,-56.915955179201816
66,50,-50.93753082102596
67,50,-57.27280584114898
68,50,-57.161283411799836
69,50,-63.55134536544842
70,50,-46.4538661844054
71,50,-62.48628937724507
72,50,-48.5731939817264
73,50,-67.34622373974109
74,50,-69.20492491991013
75,50,-65.69025475910476
76,50,-57.795604773700866
77,50,-46.086238774703766
78,50,-95.24944275134533
79,50,-72.86223289936117
80,50,-40.916545439681485
81,50,-106.3380612795867
82,50,-71.56853130957874
83,50,-67.94998479745556
84,50,-40.28869813198655
85,50,-45.45936009346669
86,50,-78.28033589817933
87,50,-67.1457666291405
88,50,-85.77135114348818
89,50,-44.91898106665878
90,50,-34.06513956933991
91,50,-47.472881373865235
92,50,-36.661657700702726
93,50,-43.59682720580817
94,50,-55.88352822512523
95,50,-47.70827439822714
96,50,-97.54606328955884
97,50,-105.96997188226685
98,50,-65.69037515831548
99,50,-39.64588104567468
100,50,-61.77654722543912
