episode,steps,team_return
1,100,-89.00266021398423
2,100,-89.0992367248601
3,100,-85.06295279539978
4,100,-138.9453175971365
5,100,-171.32197240595127
6,100,-131.4838850740575
7,100,-195.0290042615722
8,100,-125.74724739802586
9,100,-156.8676170094142
10,100,-145.61111821797888
11,100,-155.1420269788517
12,100,-93.66379874714838
13,100,-119.99859446449207
14,100,-131.32392413536914
15,100,-202.501800437573
16,100,-93.04772972778149
17,100,-109.70638085706238
18,100,-113.78366615718855
19,100,-130.31386243114912
20,100,-136.8984801621988
21,100,-146.28704901103052
22,100,-158.33763962831114
23,100,-179.63344553662475
24,100,-130.95930941821942
25,100,-118.24842361437067
26,100,-99.89391517319122
27,100,-91.95350689763448
28,100,-165.6967259453566
29,100,-101.30843989026798
30,100,-152.56777434791758
31,100,-104.90664711381163
32,100,-102.17189492286708
33,100,-88.3240480506686
34,100,-115.55739869103463
35,100,-118.55543075458512
36,100,-111.76149312583763
37,100,-88.28651468392906
38,100,-102.90400959535077
39,100,-108.6736621717105
40,100,-94.12865937739411
41,100,-134.6237972860486
42,100,-125.07516676555075
43,100,-167.1333628526348
44,100,-154.70722469327538
45,100,-129.32220079909948
46,100,-111.51137276198256
47,100,-122.51684492623052
48,100,-132.04722936450318
49,100,-193.23129626095823
50,100,-157.26653853683902
51,100,-107.12471191594862
52,100,-125.06861167790763
53,100,-175.2752002264366
54,100,-181.51783063001912
55,100,-153.9592147310365
56,100,-101.43567914841573
57,100,-145.71144895172245
58,100,-79.37447001387959
59,100,-109.77382239465297
60,100,-118.13883550170412
61,100,-109.62123057542478
62,100,-85.39583061949472
63,100,-110.06841651432417
64,100,-174.6170580503968
65,100,-135.8273522961325
66,100,-99.39595886490348
67,100,-128.2926718248324
68,100,-131.9393314315258
69,100,-140.02691370737654
70,100,-184.69540480862153
71,100,-152.46160885955624
72,100,-139.03751226316837
73,100,-321.2098221047578
74,100,-116.89775216014266
75,100,-109.71159091669304
76,100,-145.07045605599197
77,100,-146.0330139482624
78,100,-143.2169094813811
79,100,-129.3404104669102
80,100,-89.05811922720235
81,100,-253.80975485608025
82,100,-213.82981297576868
83,100,-196.90089436991153
84,100,-116.687496173186
85,100,-115.0745870093283
86,100,-116.61195235482802
87,100,-94.65711572594536
88,100,-104.43563474009318
89,100,-127.49963441607889
90,100,-86.05585625530443
91,100,-193.55377468837418
92,100,-107.70927256521055
93,100,-146.6204148783805
94,100,-177.44238891221494
95,100,-152.89720499297178
96,100,-167.69782757794516
97,100,-191.41231207527665
98,100,-129.2524213353529
99,100,-101.5490332596689
100,100,-81.77773382341668
