update,episode,total_steps,train_team_return,td_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
1,4,200,-50.39197368911529,19.477039337158203,76.10964965820312,-2.229208469390869,9.845666885375977,28.2825927734375,17.589557647705078,6.842626571655273,32.31536102294922,0.94,,
2,5,210,-11.229343561678137,16.73849105834961,79.41712951660156,0.004896074533462524,8.64109992980957,22.320714950561523,16.900110244750977,7.575778961181641,33.264408111572266,0.9369999999999999,,
3,5,220,-22.72508867436242,17.50250244140625,77.50881958007812,2.1012957096099854,9.384230613708496,19.08761978149414,19.57577896118164,7.100991249084473,32.73080062866211,0.9339999999999999,,
4,5,230,-35.26659268214178,18.339405059814453,75.79765319824219,0.43112435936927795,9.996292114257812,20.69536590576172,18.522472381591797,6.340139389038086,33.277587890625,0.931,,
5,5,240,-44.94266213789322,16.82634925842285,81.13320922851562,1.6180872917175293,9.345108985900879,20.431482315063477,18.9356689453125,5.321828365325928,30.219987869262695,0.9279999999999999,,
6,5,250,-53.857910491038446,17.05345344543457,75.09957885742188,1.8462066650390625,8.28311538696289,17.50511360168457,18.691640853881836,5.810152053833008,29.663639068603516,0.925,,
7,6,260,-9.425919088942623,14.295953750610352,71.4681167602539,4.756026268005371,9.375042915344238,22.04531478881836,19.084630966186523,6.75673246383667,33.32155990600586,0.922,,
8,6,270,-16.91079402765149,13.206974983215332,68.530029296875,5.008376121520996,9.160467147827148,22.75868797302246,17.463544845581055,5.765815258026123,32.80878829956055,0.919,,
9,6,280,-25.66675534268492,15.71725845336914,72.71025085449219,3.138699531555176,9.628316879272461,25.865421295166016,18.402347564697266,6.234048366546631,32.42580795288086,0.916,,
10,6,290,-35.15394841770002,12.439512252807617,77.04205322265625,5.364077568054199,8.611381530761719,26.51632308959961,18.035430908203125,5.718499660491943,32.78239440917969,0.913,,
11,6,300,-46.822451332466756,12.202132225036621,68.51250457763672,5.814931392669678,9.228278160095215,24.629379272460938,16.976573944091797,6.89927864074707,30.350603103637695,0.91,,
12,7,310,-11.90282838831776,13.133844375610352,74.43795013427734,4.768463134765625,9.025609970092773,23.765974044799805,17.4947452545166,6.18597412109375,32.92705535888672,0.907,,
13,7,320,-20.739945727655883,13.339072227478027,72.4779281616211,6.218445777893066,10.483927726745605,34.42313003540039,19.308666229248047,6.479494571685791,32.96404266357422,0.904,,
